看小区园林 格局方正实用 通风采光好 刚需上车,美心翠拥华庭一期,番禺客运站,3室2厅 ,86.86, 北 , 简装 ,6, 2004年 , 塔楼,2,24,1760000.0,"20,263元/平",VR房源 房本满五年 随时看房 
朗逸雅居 3房2卫 中层南向望花园 户型实用 业主诚心卖,友田朗逸雅居,狮岭镇,3室2厅 ,107.13, 南 , 毛坯 ,11, 2019年 , 塔楼,0, 1个月以前发布,1060000.0,"9,895元/平",VR看装修 房本满两年 随时看房 
急卖急卖  地铁物业 毛坯 东南向 地铁口800米,大城云山,太平镇,2室1厅 ,83.19, 东南 , 毛坯 ,11, 2016年 , 塔楼,155, 一年前发布,710000.0,"8,535元/平",近地铁 VR看装修 房本满五年 随时看房 
雅居乐锦官城  二楼带平台 装修保养新,雅居乐锦官城雍容南台,沙湾,3室1厅 ,97.5, 东南 , 精装 ,18, 2011年 , 塔楼,1, 3个月以前发布,2550000.0,"26,154元/平",VR看装修 房本满五年 随时看房 
大城云山 14号线太平站A出口800米  精装修,大城云山,太平镇,3室2厅 ,117.56, 东北 , 精装 ,17, 2016年 , 塔楼,14, 一年前发布,950000.0,"8,081元/平",近地铁 VR看装修 房本满五年 随时看房 
如意花园框架结构刚需两房 满五唯一税费少 视野开阔,如意花园,洛溪,2室2厅 ,69.66, 西南 , 精装 ,8, 1993年 , 板楼,8, 6个月以前发布,1160000.0,"16,653元/平",VR看装修 房本满五年 随时看房 
元邦大三房  南北对流全明户型,元邦山清水秀,狮岭镇,3室2厅 ,118.0, 南 北 , 毛坯 ,28, 2018年 , 塔楼,2, 3个月以前发布,800000.0,"6,780元/平",VR看装修 房本满两年 随时看房 
锦城花间集 9平方大阳台，毛坯，不靠高速高铁,雅居乐锦城花间集,秀全街,3室2厅 ,110.35, 北 , 毛坯 ,25, 2008年 , 塔楼,1, 8个月以前发布,1530000.0,"13,865元/平",VR看装修 房本满五年 随时看房 
恒大山水城，精装三房，户型方正，采光通风。,恒大山水城,中新镇,3室2厅 ,93.49, 西北 , 精装 ,18, 2011年 , 板塔结合,0, 9个月以前发布,1020000.0,"10,911元/平",VR看装修 房本满五年 
此房满五年，格局方正，交通便利,新塘新世界花园万象苑,沙村,2室2厅 ,78.58, 北 , 精装 ,18, 2009年 , 塔楼,4, 一年前发布,1200000.0,"15,272元/平",近地铁 VR看装修 房本满五年 随时看房 
金地香山湖前排景观好，视野开阔,金地香山湖,永宁,4室2厅 ,138.6, 南 , 毛坯 ,32, 2016年 , 塔楼,1, 7个月以前发布,1250000.0,"9,019元/平",VR看装修 房本满两年 随时看房 
税费可议 21号线地铁口精装 满二，东向视野好,保利中航城花园一期,朱村,3室2厅 ,91.55, 东 , 精装 ,27, 2019年 , 塔楼,8, 一年前发布,1330000.0,"14,528元/平",VR看装修 房本满两年 随时看房 
此房视野开阔，采光充足，近地铁口，交通方便。,荔富湖畔,朱村,4室2厅 ,143.93, 南 , 精装 ,31, 2016年 , 塔楼,3, 一年前发布,1590000.0,"11,048元/平",近地铁 VR看装修 房本满五年 随时看房 
此房户型方正，望别墅，视野好，保养好，近华附。,碧桂园豪园翠湖苑,增城碧桂园,3室1厅 ,92.65, 南 , 简装 ,18, 2011年 , 塔楼,4, 2个月以前发布,900000.0,"9,714元/平",VR看装修 房本满五年 随时看房 
南向望泳池，电梯高层，全新未住，近门岗，可下车库！,中国铁建国际花园,朱村,3室2厅 ,91.65, 东南 , 精装 ,26, 2017年 , 板塔结合,23, 一年前发布,1380000.0,"15,058元/平",VR看装修 房本满两年 随时看房 
全新未入住，楼层好，采光充足，快满五年,合汇学府名郡,白江,3室2厅 ,98.97, 南 北 , 毛坯 ,17, 2017年 , 塔楼,1, 5个月以前发布,1450000.0,"14,651元/平",VR看装修 房本满五年 随时看房 
满五唯一 楼层好 采光好 格局方正 一手业主,丽江花园华林居,南浦,2室1厅 ,73.5, 东北 , 精装 ,6, 1997年 , 塔楼,2, 2个月以前发布,1750000.0,"23,810元/平",VR看装修 房本满五年 
小户型，预算低，视野无遮挡，随时看房，业主诚意出,南沙万达广场,金洲,2室1厅 ,72.43, 南 , 精装 ,27, 2017年 , 塔楼,12, 2个月以前发布,588000.0,"8,119元/平",房本满五年 随时看房 
"此房满五年,  一手业主 产权清晰！祈福全景",祈福新村晓峰园,祈福新村,3室1厅 ,129.0, 北 , 简装 ,35, 2005年 , 塔楼,3, 1个月以前发布,2360000.0,"18,295元/平",VR房源 房本满五年 随时看房 
店长推荐：格局方正通透 满五唯一 交通便利,东华花园,市桥东,3室1厅 ,111.9, 北 , 简装 ,7, 2004年 , 板楼,7, 10个月以前发布,2300000.0,"20,555元/平",VR看装修 房本满五年 随时看房 
荔园小区 中层两房 空置看房方便,荔园小区,黄埔区府,2室1厅 ,59.03, 东北 , 简装 ,9, 1995年 , 塔楼,3, 6个月以前发布,1330000.0,"22,531元/平",VR看装修 房本满五年 随时看房 
海伦堡花园 大三房 南向 小区绿化高 环境舒适,海伦堡花园,沙村,3室2厅 ,95.03, 南 , 精装 ,18, 2012年 , 塔楼,3, 2个月以前发布,1180000.0,"12,418元/平",VR看装修 房本满五年 随时看房 
黄埔知识城万科幸福誉地铁口大三房,万科幸福誉,知识城,3室2厅 ,95.42, 南 , 精装 ,34, 2014年 , 板塔结合,6, 2个月以前发布,2500000.0,"26,200元/平",近地铁 VR房源 房本满两年 随时看房 
广奥社区 环境优美 小区人车分流 少有南向电梯两房,广州奥林匹克花园,洛溪,2室1厅 ,88.6, 南 , 精装 ,10, 2002年 , 塔楼,4, 2个月以前发布,2560000.0,"28,894元/平",近地铁 VR房源 房本满五年 随时看房 
楼层好 视野开阔  一手业主免重税  出行便利,翠馨华庭,广州大道南,2室1厅 ,39.1, 西 , 精装 ,24, 2003年 , 塔楼,1, 1个月以前发布,1400000.0,"35,806元/平",VR看装修 房本满五年 随时看房 
华侨新村  团结路四楼带天台花园 马赛克外墙框架结构,华侨新村,淘金,2室1厅 ,61.54, 北 东南 , 简装 ,4, 2000年 , 板楼,1, 1个月以前发布,3750000.0,"60,936元/平",近地铁 VR看装修 房本满五年 随时看房 
正规一房 房子过5年唯一 方便看房,金满花园,金沙洲,1室1厅 ,38.31, 东 , 简装 ,10, 2000年 , 塔楼,3, 1个月以前发布,680000.0,"17,750元/平",近地铁 VR房源 房本满五年 随时看房 
视野开阔，交通便利，近地铁 只可一次性,新光百德广场,太平镇,1室0厅 ,56.86, 南 , 精装 ,16, 2014年 , 塔楼,2, 1个月以前发布,270000.0,"4,749元/平",近地铁 房本满五年 随时看房 
滨江东精装修两房，拎包入住，轻松上车,蓝色康园,滨江东,2室1厅 ,46.51, 东 北 , 精装 ,19, 2002年 , 板楼,5, 1个月以前发布,3080000.0,"66,223元/平",VR房源 房本满两年 
祈福新村1100000买大2房  优质上车盘,祈福新村A区,祈福新村,2室2厅 ,68.9, 北 , 精装 ,3, 1994年 , 平房,7, 1个月以前发布,1100000.0,"15,966元/平",近地铁 VR看装修 房本满五年 随时看房 
兰慧园 小区好靓 东南向单边位   户型正,基立新村,前进路,2室1厅 ,53.69, 东南 , 简装 ,8, 1994年 , 塔楼,0, 1个月以前发布,1830000.0,"34,085元/平",VR看装修 房本满五年 随时看房 
美荔尚筑 陈家祠新光汇旁 双阳台光线通风好 交通便利,美荔尚筑,龙津,2室1厅 ,86.97, 北 , 简装 ,37, 2009年 , 塔楼,1, 1个月以前发布,4100000.0,"47,143元/平",近地铁 VR看装修 房本满五年 随时看房 
时代两房，视野开阔，位置安静。,时代中国时代天韵,知识城,2室2厅 ,83.55, 北 , 其他 ,32, 2016年 , 塔楼,2, 1个月以前发布,1650000.0,"19,749元/平",VR看装修 房本满两年 随时看房 
地铁口 原装电梯两房 户型方正实用 随时可看,晓港湾,东晓南,2室1厅 ,67.16, 西北 , 简装 ,23, 1999年 , 塔楼,1, 1个月以前发布,1920000.0,"28,589元/平",近地铁 VR看装修 房本满五年 随时看房 
诚心放卖，位置安静，视野开阔。,绿地城泊语湾,知识城,2室1厅 ,74.0, 北 , 精装 ,33, 2017年 , 塔楼,2, 1个月以前发布,1399000.0,"18,906元/平",近地铁 VR房源 房本满两年 随时看房 
悦安花园 舒适两房 通风采光好 厅出大阳台 少有放盘,悦安花园,昌岗,2室1厅 ,77.32, 东 东北 , 其他 ,19, 2002年 , 塔楼,2, 1个月以前发布,3250000.0,"42,034元/平",近地铁 VR房源 房本满五年 随时看房 
西门口地铁站 次新小区 东南两房 户型方正实用,富邦大厦,龙津,2室1厅 ,69.43, 东 , 简装 ,14, 2013年 , 塔楼,1, 1个月以前发布,3870000.0,"55,740元/平",VR房源 房本满五年 随时看房 
城西花园电梯方正2房，东北向双阳台，单边位采光好。,城西花园,金沙洲,2室1厅 ,73.32, 东北 , 简装 ,15, 1999年 , 塔楼,0, 1个月以前发布,1690000.0,"23,050元/平",近地铁 VR房源 房本满五年 随时看房 
星汇金沙花园 南向舒适两房 山景湖区小区 环境优美,星汇金沙花园,金沙洲,2室2厅 ,79.8, 南 , 精装 ,25, 2014年 , 塔楼,3, 1个月以前发布,2290000.0,"28,697元/平",近地铁 VR房源 房本满两年 随时看房 
昌岗双地铁，位置好，刚需上车，采光通风好,江南大道南,昌岗,2室1厅 ,55.32, 东 , 精装 ,9, 1990年 , 塔楼,2, 1个月以前发布,1430000.0,"25,850元/平",近地铁 VR看装修 房本满五年 随时看房 
高德公馆 1室1厅 东,高德公馆,珠江新城中,1室1厅 ,64.54, 东 , 其他 ,38, 2010年 , 板塔结合,1, 1个月以前发布,4850000.0,"75,148元/平",近地铁 VR房源 房本满五年 随时看房 
机关村  13号线裕丰围地铁站300米 过五年 南北对流,机关村,黄埔区府,2室1厅 ,56.23, 南 , 简装 ,5, 2000年 , 板楼,2, 1个月以前发布,1480000.0,"26,321元/平",近地铁 VR看装修 房本满五年 随时看房 
中楼层，采光好，近地铁，交通方便,广船鹤园小区,鹤洞,1室0厅 ,33.98, 东南 , 其他 ,4, 1999年 , 板楼,3, 1个月以前发布,660000.0,"19,424元/平",近地铁 VR看装修 房本满两年 随时看房 
香港业主渡假少住，证过五年 南向 楼层好户型靓装,祈福新村青怡居,祈福新村,2室2厅 ,58.5, 南 , 精装 ,5, 2001年 , 板塔结合,3, 1个月以前发布,1150000.0,"19,659元/平",VR房源 房本满五年 随时看房 
金玫瑰苑 南向电梯两房 装修保养好 户型靓,嘉鸿花园金玫瑰苑,东晓南,2室1厅 ,54.75, 东南 , 精装 ,27, 2005年 , 塔楼,1, 1个月以前发布,2250000.0,"41,096元/平",近地铁 VR看装修 房本满两年 随时看房 
保利东江首府 3房2厅，南向，一线江景， 包增值税,保利东江首府,新塘南,3室2厅 ,117.96, 南 , 精装 ,32, 2016年 , 塔楼,0, 一年前发布,1980000.0,"16,786元/平",VR看装修 房本满两年 
天马丽苑 南向中间楼层 精装三房 拎包入住,天马丽苑二期,铁路西,3室2厅 ,96.94, 西南 , 其他 ,35, 2007年 , 塔楼,1, 3个月以前发布,1300000.0,"13,411元/平",VR看装修 房本满五年 
祈福B区160小别墅 四房 通风对流保养好 过五年省税费,祈福新村B区,祈福新村,4室1厅 ,126.1, 北 , 其他 ,1, 1995年 , 暂无数据,3, 7个月以前发布,3700000.0,"29,342元/平",近地铁 VR房源 房本满五年 
满五年唯一，电梯2房2卫，南向望花园，拎包入住,金泽花园,新塘南,2室2厅 ,78.26, 南 西南 , 精装 ,14, 2004年 , 塔楼,26, 一年前发布,890000.0,"11,373元/平",VR房源 房本满五年 
近地铁，近公园，近菜市场，近公交站，近医院。,富域尚品居,南岗,3室1厅 ,82.93, 南 , 精装 ,18, 2009年 , 塔楼,41, 一年前发布,1860000.0,"22,429元/平",近地铁 VR看装修 房本满两年 
东华花园一期 近南门 低楼层 采光可以 户型方正,东华花园,市桥东,3室1厅 ,81.83, 南 , 简装 ,7, 2004年 , 板楼,1, 1个月以前发布,2180000.0,"26,641元/平",近地铁 VR房源 房本满五年 
满五唯一，保养新净，采光通风好。,祈福新村A区,祈福新村,4室2厅 ,152.2, 北 , 简装 ,1, 1994年 , 平房,2, 2个月以前发布,4280000.0,"28,121元/平",近地铁 VR房源 房本满五年 
此房满五不唯一  东南向 格局靓 视野完阔,侨宫苑,市桥,3室2厅 ,108.2, 东南 , 简装 ,8, 1996年 , 塔楼,1, 2个月以前发布,1380000.0,"12,755元/平",VR看装修 房本满五年 随时看房 
洛溪新城 电梯 两房  交通便利,彩虹花园东区,洛溪,2室1厅 ,72.5, 东北 , 简装 ,8, 2000年 , 塔楼,10, 9个月以前发布,1580000.0,"21,794元/平",近地铁 VR看装修 房本满五年 
电梯高层 三房两卫 望园林 距离3号线傍江站700米,石碁城市花园,番禺客运站,3室2厅 ,91.4, 南 , 简装 ,12, 1995年 , 塔楼,5, 3个月以前发布,1600000.0,"17,506元/平",VR房源 房本满五年 
楼栋位置安静不吵，南北对流，家私家电好,中海誉城南苑,香雪,2室1厅 ,79.89, 北 , 精装 ,33, 2015年 , 塔楼,11, 2个月以前发布,1900000.0,"23,783元/平",VR房源 房本满五年 
合景誉山国际三房，中高楼层视野开阔，保养好,合景誉山国际,永宁,3室1厅 ,93.06, 北 , 精装 ,9, 2015年 , 塔楼,8, 6个月以前发布,680000.0,"7,308元/平",房本满两年 
南浦海滨花园 跃层单位  满五唯一 无抵押,南浦海滨花园,南浦,3室2厅 ,121.77, 南 , 精装 ,5, 2002年 , 板楼,1, 9个月以前发布,2660000.0,"21,845元/平",近地铁 VR看装修 房本满五年 随时看房 
锦尚名苑  大4房 有50方花园,锦尚名苑,新区,4室2厅 ,142.18, 东南 , 简装 ,6, 2004年 , 板楼,2, 2个月以前发布,2900000.0,"20,397元/平",近地铁 VR房源 房本满五年 
天誉 精装修三房 中间楼层 业主诚意放盘易成交,亚运城天誉,亚运城,3室2厅 ,113.42, 东北 , 精装 ,55, 2013年 , 塔楼,1, 2个月以前发布,2530000.0,"22,307元/平",VR房源 房本满两年 随时看房 
时代精品小三房，可拎包入住，刚需首先,时代倾城(番禺区),南村,3室1厅 ,84.54, 南 , 精装 ,22, 2014年 , 塔楼,12, 8个月以前发布,2380000.0,"28,153元/平",VR看装修 房本满五年 
鹤林苑 高层电梯南向次新两房 近地铁靠公园医院市场,鹤林苑,大沙地,2室1厅 ,65.12, 南 , 精装 ,10, 2011年 , 塔楼,5, 2个月以前发布,1990000.0,"30,559元/平",近地铁 VR房源 房本满五年 
恒大山水城大三房 看花园  好楼层  保养好,恒大山水城,中新镇,3室2厅 ,116.61, 北 , 精装 ,18, 2008年 , 板塔结合,0, 一年前发布,1150000.0,"9,862元/平",VR看装修 房本满两年 
对流双阳台，南北通透，楼层好，视野宽阔，采光充足,亚太新城富群苑,新塘北,3室2厅 ,117.31, 南 北 , 精装 ,7, 2005年 , 塔楼,4, 2个月以前发布,1120000.0,"9,548元/平",近地铁 VR看装修 房本满两年 
实用两房 望花园 证满五少税  看房方便,翡翠绿洲森林半岛,凤凰城,2室2厅 ,86.23, 西南 西 , 简装 ,25, 2011年 , 塔楼,0, 4个月以前发布,1200000.0,"13,917元/平",VR房源 房本满五年 
装带家私家电有阳台通风采光好 正南向,时代城,铁路西,3室2厅 ,89.46, 东南 , 精装 ,30, 2010年 , 塔楼,1, 1个月以前发布,1320000.0,"14,756元/平",VR看装修 房本满五年 随时看房 
正三房无遮挡，南向采光好，对流户型，本地实力开发商,骏威锦东花园C区,新区,3室2厅 ,94.62, 东南 , 精装 ,19, 2011年 , 塔楼,0, 6个月以前发布,2180000.0,"23,040元/平",VR房源 房本满五年 
南向3房  楼层好 采光充足 配套齐全 诚心出手,保利香雪山花园,科学城,3室1厅 ,94.09, 东南 南 , 精装 ,9, 2009年 , 平房,1, 2个月以前发布,5200000.0,"55,267元/平",近地铁 VR房源 房本满五年 
刚需三房，户型方正，通风采光好,中鼎君和名城,黄埔区府,3室2厅 ,89.81, 东北 , 精装 ,33, 2015年 , 塔楼,7, 7个月以前发布,3800000.0,"42,312元/平",近地铁 VR看装修 房本满五年 随时看房 
北丽园 176方大四房  位置安静  装修保养好,北丽园,市桥,4室2厅 ,176.02, 南 北 , 精装 ,7, 1995年 , 板楼,0, 6个月以前发布,3380000.0,"19,203元/平",近地铁 VR房源 房本满五年 
业主急卖，近凤岗地铁口，保利中航城横厅大4房 保养好,保利中航城花园一期,朱村,4室1厅 ,103.45, 南 , 精装 ,27, 2018年 , 塔楼,81, 一年前发布,1450000.0,"14,017元/平",VR看装修 房本满两年 
此房满五省重税 户型方正 楼距宽 视野开阔,东华花园,市桥东,3室2厅 ,94.51, 南 , 简装 ,6, 2004年 , 板楼,85, 一年前发布,2060000.0,"21,797元/平",VR看装修 房本满五年 随时看房 
店长推荐笋盘，小区三房jiage低,锦绣银湾,大石,3室2厅 ,126.85, 南 北 , 简装 ,24, 2007年 , 板塔结合,3, 2个月以前发布,3650000.0,"28,775元/平",VR房源 房本满五年 
沙村地铁口物业交通便利，配套成熟,尚东阳光,沙村,3室2厅 ,108.26, 北 , 精装 ,32, 2014年 , 塔楼,1, 7个月以前发布,1700000.0,"15,703元/平",近地铁 VR看装修 房本满五年 
电梯三方、全新装修、包含车位家私家电,时代康桥,狮岭镇,4室2厅 ,112.38, 东南 , 简装 ,19, 2013年 , 塔楼,1, 7个月以前发布,1500000.0,"13,348元/平",VR看装修 房本满两年 
地铁五号线大沙东  乙烯大院  精装两房南向安静望花园,乙烯大院,黄埔区府,2室2厅 ,73.61, 西南 , 精装 ,8, 1998年 , 塔楼,2, 1个月以前发布,2300000.0,"31,246元/平",近地铁 VR看装修 房本满五年 
自在城市花园一二期 2室1厅 南,自在城市花园一二期,汉溪长隆,2室1厅 ,76.6, 南 , 简装 ,11, 2004年 , 塔楼,6, 1个月以前发布,1950000.0,"25,457元/平",VR房源 房本满五年 
珠岛花园 配套成熟 交通便利 实用小户型,珠岛花园,大坦沙,1室1厅 ,24.82, 西 , 简装 ,9, 1995年 , 板塔结合,0, 1个月以前发布,760000.0,"30,621元/平",近地铁 VR房源 房本满五年 随时看房 
此房满2年，免增值税，视野开阔,双晖轩小区,大岗镇,1室1厅 ,27.61, 西南 , 简装 ,6, 2008年 , 塔楼,2,25,400000.0,"14,488元/平",VR房源 房本满两年 
双子星城 1室1厅 北,双子星城,新港西,1室1厅 ,27.73, 北 , 其他 ,15, 2005年 , 塔楼,4,27,990000.0,"35,702元/平",近地铁 VR房源 房本满五年 
南洲名苑 双地铁安静看花园 电梯中层 满五唯一诚意出,南洲名苑,东晓南,2室2厅 ,56.86, 西南 , 精装 ,11, 2003年 , 塔楼,1, 1个月以前发布,2280000.0,"40,099元/平",近地铁 VR看装修 房本满五年 
东晓南地铁50米 东南向正规大一房 中低层采光好 满五,晓港湾,东晓南,1室1厅 ,26.12, 东南 , 精装 ,9, 1999年 , 塔楼,1, 1个月以前发布,800000.0,"30,628元/平",近地铁 VR看装修 房本满五年 
位置安静，保养好，无遮挡。。。,万科幸福誉,知识城,2室1厅 ,72.15, 南 北 , 精装 ,34, 2014年 , 板塔结合,3, 1个月以前发布,1450000.0,"20,098元/平",近地铁 VR看装修 房本满两年 随时看房 
东向一房 采光通风好 视野佳 诚心出SHOU,跑马地花园三期,珠江新城东,1室1厅 ,46.25, 东 , 精装 ,33, 2006年 , 塔楼,1,27,1890000.0,"40,865元/平",近地铁 VR房源 房本满两年 
全明中层简装两房，东北靓向，全明屋，拎包入住,富力广场D区,中山八,2室2厅 ,68.68, 东 北 东北 , 其他 ,26, 2005年 , 塔楼,2,30,3300000.0,"48,049元/平",近地铁 VR看装修 房本满五年 
晓港湾二期，一楼直上加装电梯，少有南向两房,晓港湾,东晓南,2室1厅 ,58.99, 南 , 简装 ,9, 1999年 , 塔楼,2,31,1890000.0,"32,040元/平",近地铁 VR看装修 房本满五年 
南洲花苑 电梯房 南北对流 采光好 小区宜居生活配套齐,南洲花苑AB区,南洲,2室1厅 ,63.21, 南 , 简装 ,9, 1996年 , 塔楼,3,30,1350000.0,"21,358元/平",VR看装修 房本满五年 
晓港湾二期，一楼直上加装电梯，少有南向两房,晓港湾,东晓南,2室1厅 ,58.99, 东南 , 简装 ,9, 1999年 , 塔楼,1,31,2000000.0,"33,905元/平",近地铁 VR看装修 房本满五年 
精装三房 带天台花园 户型实用 享受阳光 少税费！,昊龙花园北区,桥南,3室2厅 ,94.25, 东 , 精装 ,5, 2007年 , 塔楼,5, 8个月以前发布,2150000.0,"22,812元/平",VR看装修 房本满五年 随时看房 
祈福都会花园 大两房 中间位置 南向高层,祈福都会花园,花山镇,2室2厅 ,80.44, 南 , 简装 ,11, 2009年 , 塔楼,5, 一年前发布,779000.0,"9,685元/平",VR看装修 房本满五年 随时看房 
富力金港城，配套设施齐全，居住好地方。,富力金港城东区,花东镇,3室2厅 ,92.29, 南 , 精装 ,16, 2011年 , 塔楼,50, 一年前发布,1050000.0,"11,378元/平",VR看装修 房本满五年 随时看房 
雅宝名居 大四房南北对流 看河景 5分到融创茂,雅宝新城,秀全街,4室2厅 ,155.27, 南 北 , 毛坯 ,29, 2017年 , 塔楼,5, 9个月以前发布,1798000.0,"11,580元/平",VR看装修 房本满两年 随时看房 
祈福新村迎风阁75方大两房望湖景观好证过五年,祈福新村迎风阁,祈福新村,2室2厅 ,74.69, 北 , 精装 ,20, 2005年 , 板塔结合,6, 5个月以前发布,1700000.0,"22,761元/平",VR房源 房本满五年 随时看房 
舒适两房，中间楼层 装修保养好,科城山庄锦泽园,科学城,2室1厅 ,84.48, 北 , 精装 ,18, 2015年 , 塔楼,1, 6个月以前发布,3550000.0,"42,022元/平",近地铁 VR看装修 房本满五年 随时看房 
满五，采光好，格局方正，近地铁的位置,棠德花苑,棠下,2室1厅 ,62.63, 南 西南 , 简装 ,9, 1997年 , 塔楼,14, 一年前发布,1800000.0,"28,741元/平",近地铁 VR看装修 房本满五年 随时看房 
精装修，采光通风都比较好，比较安静,萝岗奥园广场,香雪,2室1厅 ,45.42, 西 , 精装 ,19, 2016年 , 塔楼,25, 一年前发布,690000.0,"15,192元/平",近地铁 房本满五年 随时看房 
英伦世家中间位置，单证南向看花园,雅宝新城,秀全街,3室2厅 ,141.81, 南 , 毛坯 ,26, 2012年 , 塔楼,1, 2个月以前发布,2200000.0,"15,514元/平",VR看装修 房本满五年 随时看房 
科城山庄锦泽园 精装两房 楼层采光通风好,科城山庄锦泽园,科学城,2室1厅 ,84.49, 北 , 精装 ,18, 2015年 , 塔楼,2, 8个月以前发布,3550000.0,"42,017元/平",近地铁 VR看装修 房本满两年 随时看房 
富庭华园  大三房带主套 可以随时看房,富庭华园,大石,3室2厅 ,112.9, 北 , 精装 ,7, 2002年 , 塔楼,1, 2个月以前发布,2450000.0,"21,701元/平",近地铁 VR房源 房本满五年 随时看房 
5号线地铁大一房一厅，厅直出，户型方正，诚心卖,雅怡居,东圃,1室1厅 ,47.31, 东南 , 简装 ,9, 2000年 , 塔楼,0, 2个月以前发布,1590000.0,"33,609元/平",近地铁 VR看装修 房本满五年 随时看房 
西关海 对流三房 一手毛坯没住过,西关海,南岸路,3室2厅 ,154.8, 东南 , 毛坯 ,46, 2012年 , 塔楼,1, 一年前发布,10000000.0,"64,600元/平",VR看装修 房本满两年 随时看房 
影城花园 原装电梯南向高层三房 看房方便,影城花园,客村,3室1厅 ,94.59, 南 , 简装 ,27, 2003年 , 塔楼,7, 一年前发布,3700000.0,"39,117元/平",近地铁 VR看装修 房本满五年 随时看房 
豪景花园少有的户型方正  安静不吵  采光好,豪景花园,沙河,2室1厅 ,81.46, 南 , 精装 ,19, 2013年 , 塔楼,11, 2个月以前发布,2650000.0,"32,532元/平",VR房源 房本满五年 随时看房 
春晖闲庭 满五年 高楼层带露台花园 南向望白云山,春晖闲庭,南湖,3室2厅 ,133.58, 南 , 精装 ,12, 2004年 , 塔楼,9, 9个月以前发布,3350000.0,"25,079元/平",近地铁 VR看装修 房本满五年 随时看房 
华侨城 原装电梯  单边位  采光好  有匙看,华侨城(番禺),市桥,2室1厅 ,63.9, 北 , 其他 ,13, 1999年 , 塔楼,5, 2个月以前发布,1050000.0,"16,432元/平",VR房源 房本满五年 随时看房 
东山水恋，中层，东北向，双阳台。,东山水恋,东湖,2室1厅 ,84.74, 东北 , 精装 ,32, 2007年 , 塔楼,2, 一年前发布,6000000.0,"70,805元/平",VR看装修 房本满五年 随时看房 
业主唯一物业 空中花园 格局方正 光线充足 有电梯,雅图花园,镜湖大道,2室1厅 ,83.88, 西 , 毛坯 ,11, 1998年 , 塔楼,1, 3个月以前发布,588000.0,"7,011元/平",VR看装修 房本满五年 随时看房 
高层望江，安静不吵，户型方正，楼龄新，近地铁,富基广场B区,滨江中,3室2厅 ,98.72, 西北 , 精装 ,44, 2012年 , 塔楼,14, 8个月以前发布,6380000.0,"64,628元/平",VR看装修 房本满五年 随时看房 
南沙地铁四号线，急卖，看房方便,南沙万达广场,金洲,1室1厅 ,63.02, 东南 , 简装 ,26, 2017年 , 塔楼,2, 2个月以前发布,470000.0,"7,458元/平",近地铁 房本满五年 随时看房 
保利天悦南向三房 高层景观好 业主诚意出,保利天悦花园,万胜围,3室2厅 ,142.12, 东南 南 , 精装 ,36, 2014年 , 塔楼,1, 2个月以前发布,24130000.0,"169,787元/平",VR看装修 房本满两年 随时看房 
南向四开间朝南，空置随时可以看房，好楼层采光好,时代中国时代天韵,知识城,4室2厅 ,133.05, 南 , 精装 ,23, 2018年 , 板塔结合,1, 2个月以前发布,3900000.0,"29,313元/平",近地铁 VR看装修 房本满两年 随时看房 
高楼层，视野无遮拦，满五，看房很多人，值得推荐,南沙碧桂园,金洲,3室2厅 ,109.51, 北 , 精装 ,18, 2007年 , 平房,0, 4个月以前发布,1650000.0,"15,068元/平",VR房源 房本满五年 随时看房 
三房带主套，望园景，近番禺广场地铁3/18/22号线,美心翠拥华庭一期,番禺客运站,3室2厅 ,115.39, 南 , 简装 ,6, 2004年 , 板楼,4, 一年前发布,2150000.0,"18,633元/平",VR看装修 房本满五年 随时看房 
碧桂园大品牌开发商，配有24小时安保，地铁口物业。。,碧桂园荔山雅筑,赤草,3室2厅 ,107.5, 东 , 精装 ,26, 2019年 , 塔楼,3, 一年前发布,950000.0,"8,838元/平",近地铁 VR看装修 房本满两年 随时看房 
元邦航空 满五少税  精致 小两房 东向往花园,元邦航空家园,马务,2室1厅 ,67.98, 东 , 其他 ,11, 2004年 , 塔楼,1, 4个月以前发布,1680000.0,"24,714元/平",VR房源 房本满五年 随时看房 
蕉门河畔，雅苑南向三房两卫带露台,逸涛雅苑,进港大道,3室1厅 ,88.75, 南 , 简装 ,6, 2000年 , 塔楼,5, 6个月以前发布,1350000.0,"15,212元/平",VR看装修 房本满五年 
雅郡花园，一梯两户，南北对流，小区中间位置,雅郡花园,万胜围,3室1厅 ,130.57, 南 北 , 简装 ,6, 2003年 , 塔楼,8, 4个月以前发布,8800000.0,"67,397元/平",VR房源 房本满两年 随时看房 
满五唯一，中楼层，安静看花园，视野开阔,中国铁建国际花园,朱村,3室1厅 ,81.21, 东北 , 精装 ,26, 2017年 , 塔楼,3, 6个月以前发布,1190000.0,"14,654元/平",VR看装修 房本满五年 随时看房 
锦云峰南向高层 视野好 阳光充足,新世界锦云峰,嘉禾望岗,3室2厅 ,93.92, 南 , 精装 ,32, 2013年 , 塔楼,4, 10个月以前发布,4380000.0,"46,636元/平",VR看装修 房本满五年 随时看房 
此房高层，东南向望园林，满五唯一，产权清晰,碧桂园天玺湾,进港大道,2室1厅 ,68.33, 东南 , 精装 ,17, 2014年 , 板塔结合,0, 9个月以前发布,1190000.0,"17,416元/平",VR看装修 房本满五年 随时看房 
